"Step","resilient-blaze-9 - Smallest CBF constraint(unfiltered)","resilient-blaze-9 - Smallest CBF constraint(unfiltered)__MIN","resilient-blaze-9 - Smallest CBF constraint(unfiltered)__MAX"
"1207","-0.5649828910827637","-0.5649828910827637","-0.5649828910827637"
"1213","-1.2749005556106567","-1.2749005556106567","-1.2749005556106567"
"1215","-0.9936650991439819","-0.9936650991439819","-0.9936650991439819"
"1223","-0.6874054074287415","-0.6874054074287415","-0.6874054074287415"
"1225","-1.3392972946166992","-1.3392972946166992","-1.3392972946166992"
"1227","-0.6363762617111206","-0.6363762617111206","-0.6363762617111206"
"1231","-1.0071016550064087","-1.0071016550064087","-1.0071016550064087"
"1233","-0.9114512205123901","-0.9114512205123901","-0.9114512205123901"
"1235","-0.7309942245483398","-0.7309942245483398","-0.7309942245483398"
"1243","-0.1484985053539276","-0.1484985053539276","-0.1484985053539276"
"1245","-0.3593887686729431","-0.3593887686729431","-0.3593887686729431"
"1251","-0.7742270231246948","-0.7742270231246948","-0.7742270231246948"
"1267","-0.7006093263626099","-0.7006093263626099","-0.7006093263626099"
"1269","-0.2564578056335449","-0.2564578056335449","-0.2564578056335449"
"1283","-0.9872673749923706","-0.9872673749923706","-0.9872673749923706"
"1293","-0.4510686695575714","-0.4510686695575714","-0.4510686695575714"
"1295","-0.7506667375564575","-0.7506667375564575","-0.7506667375564575"
"1301","-0.3728219270706177","-0.3728219270706177","-0.3728219270706177"
"1309","-0.2909407317638397","-0.2909407317638397","-0.2909407317638397"
"1311","-0.44556599855422974","-0.44556599855422974","-0.44556599855422974"
"1313","-0.7724152207374573","-0.7724152207374573","-0.7724152207374573"
"1315","-0.8971861600875854","-0.8971861600875854","-0.8971861600875854"
"1319","-0.6141778230667114","-0.6141778230667114","-0.6141778230667114"
"1323","-1.4138994216918945","-1.4138994216918945","-1.4138994216918945"
"1325","-1.1212586164474487","-1.1212586164474487","-1.1212586164474487"
"1329","-0.38441282510757446","-0.38441282510757446","-0.38441282510757446"
"1331","-0.8018775582313538","-0.8018775582313538","-0.8018775582313538"
"1333","-0.28097981214523315","-0.28097981214523315","-0.28097981214523315"
"1335","-0.42475515604019165","-0.42475515604019165","-0.42475515604019165"
"1337","-0.8008714318275452","-0.8008714318275452","-0.8008714318275452"
"1339","-0.2985846996307373","-0.2985846996307373","-0.2985846996307373"
"1341","-0.39583635330200195","-0.39583635330200195","-0.39583635330200195"
"1347","-0.7314223051071167","-0.7314223051071167","-0.7314223051071167"
"1359","-0.6744162440299988","-0.6744162440299988","-0.6744162440299988"
"1361","-0.3062956929206848","-0.3062956929206848","-0.3062956929206848"
"1365","-0.39913222193717957","-0.39913222193717957","-0.39913222193717957"
"1367","-0.2871478497982025","-0.2871478497982025","-0.2871478497982025"
"1369","-0.6243879199028015","-0.6243879199028015","-0.6243879199028015"
"1373","-0.6676434278488159","-0.6676434278488159","-0.6676434278488159"
"1375","-0.741737961769104","-0.741737961769104","-0.741737961769104"
"1379","-0.8856598734855652","-0.8856598734855652","-0.8856598734855652"
"1383","-0.3712242841720581","-0.3712242841720581","-0.3712242841720581"
"1389","-1.0509378910064697","-1.0509378910064697","-1.0509378910064697"
"1395","-0.6768893599510193","-0.6768893599510193","-0.6768893599510193"
