"Step","resilient-blaze-9 - Smallest CBF value","resilient-blaze-9 - Smallest CBF value__MIN","resilient-blaze-9 - Smallest CBF value__MAX"
"1381","-0.2191983312368393","-0.2191983312368393","-0.2191983312368393"
"1385","-0.18684980273246765","-0.18684980273246765","-0.18684980273246765"
"1389","-0.19841359555721283","-0.19841359555721283","-0.19841359555721283"
"1395","-0.15068133175373077","-0.15068133175373077","-0.15068133175373077"
"1397","-0.15081505477428436","-0.15081505477428436","-0.15081505477428436"
"1399","-0.13041409850120544","-0.13041409850120544","-0.13041409850120544"
"1401","-0.186337411403656","-0.186337411403656","-0.186337411403656"
"1403","-0.19860097765922546","-0.19860097765922546","-0.19860097765922546"
"1407","-0.1978633999824524","-0.1978633999824524","-0.1978633999824524"
"1411","-0.23053811490535736","-0.23053811490535736","-0.23053811490535736"
"1413","-0.17233045399188995","-0.17233045399188995","-0.17233045399188995"
"1415","-0.19128505885601044","-0.19128505885601044","-0.19128505885601044"
"1417","-0.2459878921508789","-0.2459878921508789","-0.2459878921508789"
"1419","-0.1943769007921219","-0.1943769007921219","-0.1943769007921219"
"1421","-0.13734170794487","-0.13734170794487","-0.13734170794487"
"1429","-0.23970095813274384","-0.23970095813274384","-0.23970095813274384"
"1431","-0.13758710026741028","-0.13758710026741028","-0.13758710026741028"
"1435","-0.2935841381549835","-0.2935841381549835","-0.2935841381549835"
"1439","-0.2492181956768036","-0.2492181956768036","-0.2492181956768036"
"1443","-0.19788402318954468","-0.19788402318954468","-0.19788402318954468"
"1447","-0.1633329689502716","-0.1633329689502716","-0.1633329689502716"
"1451","-0.3242855370044708","-0.3242855370044708","-0.3242855370044708"
"1453","-0.11781274527311325","-0.11781274527311325","-0.11781274527311325"
"1457","-0.27111443877220154","-0.27111443877220154","-0.27111443877220154"
"1461","-0.24454089999198914","-0.24454089999198914","-0.24454089999198914"
"1463","-0.16568133234977722","-0.16568133234977722","-0.16568133234977722"
"1465","-0.19378893077373505","-0.19378893077373505","-0.19378893077373505"
"1467","-0.21188899874687195","-0.21188899874687195","-0.21188899874687195"
