"Step","rare-brook-31 - rewards/iter","rare-brook-31 - rewards/iter__MIN","rare-brook-31 - rewards/iter__MAX"
"59194","810.411865234375","810.411865234375","810.411865234375"
"59508","864.8748779296875","864.8748779296875","864.8748779296875"
"59512","858.77734375","858.77734375","858.77734375"
"59816","838.6439819335938","838.6439819335938","838.6439819335938"
"59820","833.931884765625","833.931884765625","833.931884765625"
"59836","828.5755004882812","828.5755004882812","828.5755004882812"
"60152","842.6717529296875","842.6717529296875","842.6717529296875"
"60156","849.0994262695312","849.0994262695312","849.0994262695312"
"60476","863.9300537109375","863.9300537109375","863.9300537109375"
"60480","837.4473266601562","837.4473266601562","837.4473266601562"
"60742","858.2731323242188","858.2731323242188","858.2731323242188"
"60746","834.9547729492188","834.9547729492188","834.9547729492188"
"60802","833.98828125","833.98828125","833.98828125"
"61118","834.33740234375","834.33740234375","834.33740234375"
"61122","841.4155883789062","841.4155883789062","841.4155883789062"
"61400","849.7760009765625","849.7760009765625","849.7760009765625"
"61404","824.3508911132812","824.3508911132812","824.3508911132812"
"61446","826.8358154296875","826.8358154296875","826.8358154296875"
"61764","828.1284790039062","828.1284790039062","828.1284790039062"
"61768","842.928955078125","842.928955078125","842.928955078125"
"62066","848.6932373046875","848.6932373046875","848.6932373046875"
"62070","842.171142578125","842.171142578125","842.171142578125"
"62092","798.3698120117188","798.3698120117188","798.3698120117188"
"62408","808.4308471679688","808.4308471679688","808.4308471679688"
"62412","828.8265991210938","828.8265991210938","828.8265991210938"
"62730","831.7472534179688","831.7472534179688","831.7472534179688"
