"Step","restful-aardvark-1 - Smallest CBF value","restful-aardvark-1 - Smallest CBF value__MIN","restful-aardvark-1 - Smallest CBF value__MAX"
"772","-0.24705037474632263","-0.24705037474632263","-0.24705037474632263"
"774","-0.2747425138950348","-0.2747425138950348","-0.2747425138950348"
"776","-0.26630669832229614","-0.26630669832229614","-0.26630669832229614"
"778","-0.2295583337545395","-0.2295583337545395","-0.2295583337545395"
"780","-0.2758689820766449","-0.2758689820766449","-0.2758689820766449"
"782","-0.19243882596492767","-0.19243882596492767","-0.19243882596492767"
"784","-0.22263558208942413","-0.22263558208942413","-0.22263558208942413"
"786","-0.3220527470111847","-0.3220527470111847","-0.3220527470111847"
"788","-0.2123308777809143","-0.2123308777809143","-0.2123308777809143"
"790","-0.2169492244720459","-0.2169492244720459","-0.2169492244720459"
"792","-0.26168903708457947","-0.26168903708457947","-0.26168903708457947"
"794","-0.22501464188098907","-0.22501464188098907","-0.22501464188098907"
"796","-0.2296525090932846","-0.2296525090932846","-0.2296525090932846"
"798","-0.24913649260997772","-0.24913649260997772","-0.24913649260997772"
"800","-0.307283878326416","-0.307283878326416","-0.307283878326416"
"802","-0.19299118220806122","-0.19299118220806122","-0.19299118220806122"
"804","-0.26325979828834534","-0.26325979828834534","-0.26325979828834534"
"806","-0.2479388564825058","-0.2479388564825058","-0.2479388564825058"
"808","-0.2312883585691452","-0.2312883585691452","-0.2312883585691452"
"810","-0.25630947947502136","-0.25630947947502136","-0.25630947947502136"
"812","-0.2980731427669525","-0.2980731427669525","-0.2980731427669525"
"814","-0.3665162920951843","-0.3665162920951843","-0.3665162920951843"
